participant,condition,stimulus,item1,item2,item3,item4,item5,vt
0,1,1,4.0,5.0,4.0,4.0,3.0,4.0
1,1,2,4.0,3.0,4.0,3.0,4.0,3.6
2,1,3,5.0,4.0,4.0,5.0,4.0,4.4
3,1,4,5.0,5.0,6.0,3.0,5.0,4.8
4,1,5,4.0,2.0,4.0,5.0,5.0,4.0
5,1,6,4.0,3.0,4.0,5.0,3.0,3.8
6,1,7,5.0,4.0,5.0,4.0,3.0,4.2
7,1,8,5.0,4.0,4.0,5.0,3.0,4.2
8,1,9,4.0,4.0,4.0,4.0,4.0,4.0
9,1,10,4.0,4.0,4.0,5.0,4.0,4.2
10,1,11,4.0,4.0,4.0,4.0,5.0,4.2
11,1,12,4.0,4.0,4.0,3.0,4.0,3.8
12,1,13,4.0,5.0,5.0,3.0,4.0,4.2
13,1,14,2.0,4.0,4.0,5.0,4.0,3.8
14,1,15,3.0,4.0,5.0,4.0,3.0,3.8
15,1,16,4.0,4.0,4.0,4.0,6.0,4.4
16,1,17,3.0,4.0,4.0,3.0,3.0,3.4
17,1,18,4.0,4.0,2.0,4.0,4.0,3.6
18,1,19,3.0,4.0,5.0,6.0,6.0,4.8
19,1,20,3.0,4.0,4.0,3.0,4.0,3.6
20,1,1,5.0,4.0,5.0,4.0,4.0,4.4
21,1,2,4.0,6.0,2.0,5.0,4.0,4.2
22,1,3,4.0,5.0,6.0,4.0,4.0,4.6
23,1,4,3.0,4.0,4.0,4.0,5.0,4.0
24,1,5,4.0,5.0,5.0,3.0,2.0,3.8
25,1,6,4.0,4.0,3.0,4.0,5.0,4.0
26,1,7,3.0,2.0,4.0,4.0,3.0,3.2
27,1,8,4.0,3.0,3.0,5.0,4.0,3.8
28,1,9,4.0,3.0,4.0,5.0,4.0,4.0
29,1,10,4.0,4.0,6.0,6.0,4.0,4.8
30,1,11,4.0,4.0,4.0,4.0,3.0,3.8
31,1,12,5.0,5.0,4.0,4.0,4.0,4.4
32,1,13,4.0,4.0,5.0,4.0,6.0,4.6
33,1,14,3.0,4.0,4.0,4.0,3.0,3.6
34,1,15,5.0,5.0,4.0,4.0,4.0,4.4
35,1,16,3.0,2.0,4.0,4.0,3.0,3.2
36,1,17,4.0,4.0,6.0,4.0,4.0,4.4
37,1,18,2.0,5.0,4.0,5.0,4.0,4.0
38,1,19,3.0,3.0,4.0,3.0,3.0,3.2
39,1,20,4.0,5.0,5.0,5.0,4.0,4.6
40,1,1,5.0,4.0,5.0,5.0,5.0,4.8
41,1,2,4.0,4.0,5.0,4.0,4.0,4.2
42,1,3,4.0,5.0,5.0,2.0,5.0,4.2
43,1,4,4.0,6.0,3.0,4.0,3.0,4.0
44,1,5,3.0,4.0,5.0,5.0,3.0,4.0
45,1,6,3.0,4.0,3.0,4.0,4.0,3.6
46,1,7,4.0,4.0,4.0,3.0,5.0,4.0
47,1,8,5.0,3.0,3.0,4.0,4.0,3.8
48,1,9,4.0,5.0,4.0,5.0,4.0,4.4
49,1,10,3.0,3.0,4.0,4.0,4.0,3.6
50,1,11,4.0,4.0,4.0,4.0,3.0,3.8
51,1,12,4.0,4.0,4.0,4.0,4.0,4.0
52,1,13,3.0,4.0,5.0,4.0,5.0,4.2
53,1,14,4.0,4.0,4.0,3.0,4.0,3.8
54,1,15,5.0,5.0,4.0,5.0,4.0,4.6
55,1,16,5.0,4.0,5.0,4.0,4.0,4.4
56,1,17,3.0,4.0,5.0,5.0,4.0,4.2
57,1,18,4.0,3.0,3.0,5.0,4.0,3.8
58,1,19,4.0,4.0,4.0,5.0,6.0,4.6
59,1,20,5.0,4.0,5.0,4.0,4.0,4.4
60,2,1,3.0,4.0,4.0,4.0,3.0,3.6
61,2,2,4.0,3.0,4.0,5.0,4.0,4.0
62,2,3,4.0,4.0,4.0,5.0,3.0,4.0
63,2,4,5.0,4.0,4.0,3.0,4.0,4.0
64,2,5,3.0,4.0,4.0,5.0,5.0,4.2
65,2,6,4.0,5.0,2.0,3.0,5.0,3.8
66,2,7,4.0,5.0,3.0,5.0,3.0,4.0
67,2,8,3.0,4.0,4.0,5.0,5.0,4.2
68,2,9,5.0,4.0,3.0,3.0,5.0,4.0
69,2,10,4.0,3.0,4.0,4.0,3.0,3.6
70,2,11,3.0,4.0,5.0,3.0,5.0,4.0
71,2,12,5.0,4.0,5.0,4.0,5.0,4.6
72,2,13,6.0,4.0,4.0,4.0,3.0,4.2
73,2,14,5.0,3.0,5.0,5.0,3.0,4.2
74,2,15,3.0,3.0,4.0,5.0,5.0,4.0
75,2,16,4.0,5.0,4.0,5.0,4.0,4.4
76,2,17,5.0,4.0,3.0,3.0,4.0,3.8
77,2,18,3.0,4.0,4.0,4.0,4.0,3.8
78,2,19,4.0,4.0,4.0,3.0,4.0,3.8
79,2,20,5.0,4.0,4.0,3.0,3.0,3.8
80,2,1,3.0,5.0,4.0,5.0,5.0,4.4
81,2,2,4.0,4.0,4.0,5.0,5.0,4.4
82,2,3,1.0,4.0,4.0,3.0,4.0,3.2
83,2,4,3.0,4.0,5.0,3.0,4.0,3.8
84,2,5,4.0,4.0,5.0,4.0,3.0,4.0
85,2,6,3.0,4.0,3.0,4.0,4.0,3.6
86,2,7,5.0,4.0,2.0,3.0,4.0,3.6
87,2,8,3.0,4.0,5.0,4.0,4.0,4.0
88,2,9,4.0,5.0,3.0,4.0,5.0,4.2
89,2,10,4.0,3.0,4.0,4.0,4.0,3.8
90,2,11,5.0,4.0,3.0,4.0,4.0,4.0
91,2,12,3.0,4.0,2.0,4.0,3.0,3.2
92,2,13,5.0,5.0,4.0,4.0,4.0,4.4
93,2,14,4.0,4.0,5.0,4.0,4.0,4.2
94,2,15,3.0,5.0,3.0,4.0,4.0,3.8
95,2,16,4.0,3.0,2.0,4.0,4.0,3.4
96,2,17,4.0,4.0,3.0,4.0,4.0,3.8
97,2,18,3.0,5.0,4.0,5.0,5.0,4.4
98,2,19,4.0,4.0,3.0,4.0,4.0,3.8
99,2,20,4.0,5.0,4.0,4.0,3.0,4.0
100,2,1,4.0,4.0,4.0,4.0,5.0,4.2
101,2,2,4.0,5.0,4.0,4.0,5.0,4.4
102,2,3,5.0,6.0,4.0,5.0,3.0,4.6
103,2,4,3.0,4.0,3.0,4.0,4.0,3.6
104,2,5,6.0,4.0,5.0,4.0,4.0,4.6
105,2,6,2.0,5.0,4.0,4.0,4.0,3.8
106,2,7,4.0,5.0,4.0,3.0,4.0,4.0
107,2,8,4.0,4.0,3.0,3.0,4.0,3.6
108,2,9,4.0,4.0,4.0,3.0,3.0,3.6
109,2,10,3.0,4.0,3.0,4.0,3.0,3.4
110,2,11,4.0,3.0,4.0,5.0,3.0,3.8
111,2,12,4.0,3.0,5.0,6.0,3.0,4.2
112,2,13,3.0,3.0,3.0,4.0,4.0,3.4
113,2,14,5.0,3.0,3.0,4.0,3.0,3.6
114,2,15,4.0,4.0,5.0,2.0,4.0,3.8
115,2,16,3.0,4.0,4.0,3.0,5.0,3.8
116,2,17,5.0,5.0,3.0,3.0,3.0,3.8
117,2,18,4.0,3.0,5.0,3.0,4.0,3.8
118,2,19,5.0,5.0,3.0,4.0,4.0,4.2
119,2,20,4.0,4.0,5.0,4.0,4.0,4.2
120,3,1,4.0,4.0,4.0,4.0,5.0,4.2
121,3,2,3.0,3.0,3.0,3.0,4.0,3.2
122,3,3,3.0,4.0,2.0,3.0,3.0,3.0
123,3,4,4.0,6.0,5.0,5.0,3.0,4.6
124,3,5,3.0,5.0,5.0,3.0,3.0,3.8
125,3,6,3.0,4.0,4.0,5.0,3.0,3.8
126,3,7,3.0,4.0,4.0,3.0,4.0,3.6
127,3,8,3.0,4.0,4.0,4.0,3.0,3.6
128,3,9,5.0,4.0,3.0,4.0,4.0,4.0
129,3,10,5.0,3.0,3.0,4.0,5.0,4.0
130,3,11,4.0,4.0,5.0,3.0,3.0,3.8
131,3,12,5.0,3.0,3.0,4.0,5.0,4.0
132,3,13,4.0,4.0,4.0,4.0,4.0,4.0
133,3,14,3.0,4.0,3.0,3.0,5.0,3.6
134,3,15,5.0,4.0,4.0,5.0,3.0,4.2
135,3,16,4.0,5.0,4.0,4.0,5.0,4.4
136,3,17,3.0,3.0,3.0,4.0,3.0,3.2
137,3,18,4.0,3.0,5.0,3.0,5.0,4.0
138,3,19,3.0,4.0,3.0,2.0,4.0,3.2
139,3,20,3.0,5.0,3.0,4.0,4.0,3.8
140,3,1,5.0,5.0,4.0,6.0,3.0,4.6
141,3,2,5.0,4.0,5.0,5.0,3.0,4.4
142,3,3,3.0,5.0,3.0,4.0,4.0,3.8
143,3,4,4.0,4.0,4.0,4.0,3.0,3.8
144,3,5,3.0,4.0,4.0,4.0,4.0,3.8
