n_stimuli,power_12,power_13,power_23
5,0.09300464148252785,0.04229350668447507,0.04531396384799269
10,0.10094051010638094,0.0872144880307758,0.03187037974159612
20,0.23920420220228011,0.14052932614714186,0.07630848680019464
30,0.18416468889198967,0.22881259598759074,0.038814264294307343
40,0.2090191992311371,0.19970165449372368,0.02586691520778639
50,0.20770216200338176,0.2637837740459097,0.04754642458412783
60,0.21273154412891082,0.21562681987347831,0.02729546618783163
70,0.225221976931669,0.2442596163670383,0.03499963041893106
80,0.2053905577670001,0.20169298754490828,0.026123862107599538
90,0.21804535808610281,0.21500512779307002,0.02606111467878136
100,0.2533837671703526,0.23818146593669232,0.028017587403096567
110,0.20046651314493968,0.23464057063182575,0.02699653566460125
120,0.2415843297889686,0.20882709878290617,0.030292117273147512
130,0.24602060546411053,0.24713814223321018,0.028551075609136167
