n_stimuli,power_12,power_13,power_23
5,0.10653964229339219,0.12226479729165196,0.03659268695428508
10,0.15098677314799025,0.13770272374162562,0.025443409670881545
20,0.15118218539487993,0.20434140481152752,0.042094745148785195
30,0.26199418576761757,0.2709306172143072,0.026803211272297678
40,0.2640538265234237,0.24629909995393684,0.033385068375107574
50,0.22753911631629986,0.2214357114829395,0.026377451477896052
60,0.3376768236557144,0.3178770947861129,0.03295982950893206
70,0.23458441041552225,0.25572682264348723,0.029992806798227356
80,0.29469100672806503,0.29350091754951024,0.0279240541847825
90,0.29734084451955056,0.3122450747495238,0.02740912803173512
100,0.2817797214336559,0.28230507234332647,0.025429402950585933
110,0.3002225273885435,0.3060173210860464,0.025694014134067356
120,0.31517034847533454,0.3061464184206173,0.02739980895328209
130,0.27061751433464143,0.28797047666322273,0.03085085571450219
