participant,condition,stimulus,item1,item2,item3,item4,item5,vt
1,1,1,4,4,3,3,4,3.6
1,2,1,4,4,3,4,4,3.8
1,3,1,3,4,5,3,5,4.0
2,1,1,4,3,3,4,5,3.8
2,2,1,4,5,4,4,4,4.2
2,3,1,4,4,3,2,4,3.4
3,1,1,3,2,3,4,3,3.0
3,2,1,3,3,4,4,4,3.6
3,3,1,3,3,4,4,3,3.4
4,1,1,3,3,4,2,3,3.0
4,2,1,3,3,3,3,2,2.8
4,3,1,2,3,4,3,4,3.2
5,1,1,3,2,2,3,4,2.8
5,2,1,3,3,4,3,2,3.0
5,3,1,3,3,3,3,4,3.2
6,1,2,4,5,4,5,5,4.6
6,2,2,5,4,3,5,3,4.0
6,3,2,4,4,4,4,5,4.2
7,1,2,4,4,5,5,6,4.8
7,2,2,5,5,4,4,5,4.6
7,3,2,5,5,6,5,5,5.2
8,1,2,5,5,4,5,4,4.6
8,2,2,4,4,5,3,3,3.8
8,3,2,5,4,3,4,4,4.0
9,1,2,5,4,5,4,4,4.4
9,2,2,4,3,4,5,4,4.0
9,3,2,5,5,4,4,4,4.4
10,1,2,4,3,4,4,4,3.8
10,2,2,3,4,3,4,4,3.6
10,3,2,4,3,5,5,4,4.2
11,1,3,4,4,4,3,2,3.4
11,2,3,3,3,3,3,4,3.2
11,3,3,4,3,4,3,3,3.4
12,1,3,3,4,2,3,4,3.2
12,2,3,3,3,3,3,3,3.0
12,3,3,4,4,4,3,4,3.8
13,1,3,5,4,3,4,3,3.8
13,2,3,4,5,5,4,4,4.4
13,3,3,4,3,4,4,4,3.8
14,1,3,4,3,4,3,4,3.6
14,2,3,3,3,4,3,4,3.4
14,3,3,5,3,3,4,4,3.8
15,1,3,4,4,4,4,3,3.8
15,2,3,3,2,3,4,2,2.8
15,3,3,4,3,2,3,4,3.2
16,1,4,4,4,6,4,5,4.6
16,2,4,3,4,4,4,5,4.0
16,3,4,4,6,5,4,4,4.6
17,1,4,4,4,4,5,3,4.0
17,2,4,4,4,3,3,5,3.8
17,3,4,4,4,4,4,4,4.0
18,1,4,4,4,4,4,4,4.0
18,2,4,6,5,3,3,3,4.0
18,3,4,3,4,4,5,4,4.0
